,time,count_all,count_g1,count_g2,count_g3,count_g4,count_g5,count_g6,count_g7,count_g8
0,2016-01-01,484932,1707,6548,109880,157028,109291,74776,22729,2973
1,2016-02-01,531025,1875,12614,125913,167770,115646,79242,24657,3308
2,2016-03-01,826631,2780,18494,208283,260706,175571,118439,37196,5162
3,2016-04-01,882548,2822,20496,235703,280700,180095,120298,37163,5271
4,2016-05-01,1035719,3730,21318,280539,332884,212194,137856,41444,5754
5,2016-06-01,1264733,4783,27507,349956,410764,253698,162096,49314,6615
6,2016-07-01,1176035,4394,30883,344962,382616,220488,142340,44551,5801
7,2016-08-01,1342400,4774,34246,406340,438237,245825,158023,48407,6548
8,2016-09-01,1432199,6496,50233,417612,449274,277659,173168,50790,6967
9,2016-10-01,1387220,7070,49792,400852,426670,273407,172683,49976,6770
10,2016-11-01,1086912,5583,38150,300588,330074,220371,144643,41958,5545
11,2016-12-01,766263,3884,23811,198356,228500,161941,112184,33372,4215
12,2017-01-01,694412,2658,12884,163648,217627,150801,107872,34241,4681
13,2017-02-01,734756,2530,18795,183727,230654,151203,107001,36032,4814
14,2017-03-01,689638,2586,17605,170290,214914,145836,100585,33151,4671
15,2017-04-01,1146611,4119,30618,320434,365808,219050,150116,49395,7071
16,2017-05-01,1350163,5886,32431,373922,431733,268511,174780,55327,7573
17,2017-06-01,1538781,6514,39104,438777,494674,297973,193874,59871,7994
18,2017-07-01,1506260,6882,44799,460180,486880,271769,173541,54586,7623
19,2017-08-01,1591166,8199,45799,497992,513141,281724,179841,56521,7949
20,2017-09-01,1669541,8264,61277,502800,517633,313955,195744,60844,9024
21,2017-10-01,1700685,9674,64906,512563,519136,321220,200752,62531,9903
22,2017-11-01,1240383,6710,46037,349686,374250,243191,161368,50974,8167
23,2017-12-01,849914,4445,27529,225426,252913,173623,121737,38363,5878
24,2018-01-01,718990,1793,14310,166256,218664,171218,105572,35411,5766
25,2018-02-01,843073,2258,21331,200934,252144,199713,118462,41051,7180
26,2018-03-01,976591,2775,22729,233954,288535,241441,133245,46071,7841
27,2018-04-01,1307341,3952,32435,328074,375179,343549,160029,55003,9120
28,2018-05-01,1824315,5053,41908,458163,521372,504581,210823,70995,11420
29,2018-06-01,1952516,7424,48129,512099,565634,518007,217329,71583,12311
30,2018-07-01,1912782,9377,55236,522319,547425,499835,200400,66884,11306
31,2018-08-01,1976348,8867,56814,564414,571960,492843,202368,67807,11275
32,2018-09-01,1877067,8945,69192,539377,524615,460540,198716,63950,11732
33,2018-10-01,1877272,10265,69155,536548,529177,435219,214717,70975,11216
34,2018-11-01,1259404,6857,44673,347972,355513,286040,158453,51953,7943
35,2018-12-01,1015710,5788,33653,267925,285771,229571,138998,46454,7550
36,2019-01-01,967285,2211,19421,230128,297941,218301,139688,50874,8721
37,2019-02-01,943731,2301,23988,231433,290607,208786,130872,47307,8437
38,2019-03-01,1327878,4155,35735,334284,399298,302638,176544,63781,11443
39,2019-04-01,1765775,7252,50096,466667,518433,421150,213874,75338,12965
40,2019-05-01,1924241,7107,54761,508963,559263,477499,226068,77135,13445
41,2019-06-01,2124501,9319,67165,594896,610728,517627,232363,78227,14176
42,2019-07-01,2179984,11574,81820,619251,628725,510290,234427,79377,14520
43,2019-08-01,2342647,12244,87352,693021,670690,545034,238661,81129,14516
44,2019-09-01,2443064,11165,102102,710438,681778,568239,265868,87826,15648
45,2019-09-01,2443064,11165,102102,710438,681778,568239,265868,87826,15648
46,2019-09-01,2443064,11165,102102,710438,681778,568239,265868,87826,15648
47,2019-09-01,2443064,11165,102102,710438,681778,568239,265868,87826,15648
