,time,count_all,count_sub,count_cus
0,2016-01-01,484933,484933,0
1,2016-02-01,531048,531048,0
2,2016-03-01,826678,826678,0
3,2016-04-01,882679,882679,0
4,2016-05-01,1035959,1035959,0
5,2016-06-01,1265112,1265112,0
6,2016-07-01,1176515,1173901,2614
7,2016-08-01,1343039,1331827,11212
8,2016-09-01,1433341,1413894,19447
9,2016-10-01,1388498,1388193,305
10,2016-11-01,1088074,1087509,565
11,2016-12-01,767100,766855,245
12,2017-01-01,694412,694156,256
13,2017-02-01,734761,734354,407
14,2017-03-01,689686,689485,201
15,2017-04-01,1146732,1115686,31046
16,2017-05-01,1350445,1320234,30211
17,2017-06-01,1539162,1501796,37366
18,2017-07-01,1507003,1459015,47988
19,2017-08-01,1591782,1539869,51913
20,2017-09-01,1670630,1623301,47329
21,2017-10-01,1701999,1664524,37475
22,2017-11-01,1241304,1221600,19704
23,2017-12-01,850522,843253,7269
24,2018-01-01,718994,696886,22108
25,2018-02-01,843114,809756,33358
26,2018-03-01,976672,917637,59035
27,2018-04-01,1307543,1158232,149311
28,2018-05-01,1824710,1582116,242594
29,2018-06-01,1953103,1694788,258315
30,2018-07-01,1913625,1628746,284879
31,2018-08-01,1977177,1703456,273721
32,2018-09-01,1877884,1616731,261153
33,2018-10-01,1878657,1686256,192401
34,2018-11-01,1260355,1164813,95542
35,2018-12-01,1016505,955408,61097
36,2019-01-01,967287,927114,40173
37,2019-02-01,943744,897393,46351
38,2019-03-01,1327960,1221302,106658
39,2019-04-01,1766094,1536661,229433
40,2019-05-01,1924563,1629997,294566
41,2019-06-01,2125370,1752526,372844
42,2019-07-01,2181064,1803055,378009
43,2019-08-01,2344224,1900359,443865
44,2019-09-01,2444900,2010493,434407
45,2019-09-01,2444900,2010493,434407
46,2019-09-01,2444900,2010493,434407
47,2019-09-01,2444900,2010493,434407
